TransA,TransL,TransS,TransAP
2.5,3.5,2.67,2.67
3.5,3.67,3.33,1.67
4.5,3.67,3.5,2.33
3.5,4.17,3,1.67
2.5,3.67,3.67,2.33
3,3.17,3.5,2
4,3.67,3.83,2.33
3.5,3.33,3.17,2.33
2,2.33,3.83,2.33
2,3.67,3.83,1.67
2,3.17,3.33,1.67
1.5,3.33,4.17,2.33
4,4.17,3.5,2.33
2,2.67,3,2.67
1,3.33,3.33,2.33
4.5,3.33,3.17,2
3,3.83,3.17,2.33
2.5,2.5,3.67,3
3.5,2.67,3,2
3,3,4.17,2
4.5,3.33,3.33,2
4.5,2.5,2.5,2
3.5,2.83,3.5,2.33
3,2,3.5,2
3.5,2.83,3.17,2.33
3.5,3.33,3.83,2
4,3,2.67,2.33
3,3.67,4.17,3
4.5,3.83,3,3
2,3,4.17,2.67
4,3.83,4.17,2.33
3.5,2.83,3.5,2.33
2.5,3.5,4.33,1.67
3.5,2.83,3.33,2.33
2,3.17,4.17,2
3.5,2.67,3,2
3.5,2.5,3.5,2.67
3.5,2.5,3.33,1.67
3.5,3,3.33,1.67
3.5,3.67,3.67,1.67
5,3.83,4,2.33
5,3.5,3.17,2.33
2,4.83,4,1.33
3.5,3.67,3.17,2
4,4.17,4.33,2.67
2,3.17,3.67,2.33
4,4.5,4,2.67
4,3.33,3.5,2
1.5,4.17,3.83,2.33
4,4.5,3.83,2.67
3.5,3.83,3.17,2
5,4.33,4.17,1.67
3.5,3.83,4,2.33
5,4.33,3.5,2.33
3,3.67,3.67,2
3,3.83,4,2.33
3.5,4.5,3.5,2.67
5,4,3.5,2.33
4,3.83,4,1
3,3.67,3.67,1.33
3.5,2.83,4.5,2.67
3,3,4,1.67
3,3.5,2.83,1
3,3.67,4.5,2.67
3,3.17,4.17,1.67
4.5,3.67,4.5,3
3,4.5,3.33,1.33
5,3.67,3.33,2.67
4,4.5,4.33,2.67
3,3.5,3.67,1
3.5,3.67,4.5,2.67
3.5,3.83,3.17,1.33
3,3.17,4.5,1.33
2,2.83,4,3
2.5,3.83,4.33,2.67
3,3,4.33,2
3,3.83,4.5,2.67
3,3.67,3.83,1
3,3.67,4.5,2.67
2,2.33,3.5,2
5,4.17,4,2.67
3,3.17,4.33,1.67
3.5,4,4.17,1
3.5,3.83,2.83,1.67
3.5,3.67,4.5,2.67
3,3.5,4,1
3,3.5,4,1.33
1.5,3,4.17,2
3,3.5,4,1
1,3,3.33,2
4,4.33,4.5,2.67
3,3.83,4.33,1.33
2,3,3.5,3
3.5,4.17,4.5,2.67
2,3.67,3.67,2.67
3.5,3.67,4.33,1
3,3.5,4.33,3
2.5,3.83,4.17,2.67
3,3.5,4.5,1.33
2,3.67,4.17,2.67
2,4,4.5,2.33
3,4,3.83,2.67
5,3.83,3.67,2.67
4,5,5,2.67
2,4.5,4.67,3
3.5,4,4.33,2.67
5,5,4.67,2.67
5,4,3.17,2.33
2,4.5,4.17,2.67
3.5,3.83,4,3
5,4.5,4.83,2.67
1.5,4.33,4,2.67
2,4,4.17,3
4,4.67,4.5,2.67
2,4,4.33,3
4,4.17,4,2.33
2.5,3.5,4.17,3
5,4.67,4.67,3
4,4.5,3.67,2.33
2,3.83,4.17,2.67
1,3.33,4,3
2.5,4.5,4.17,3
3,3.67,4.17,2.67
4,4.5,3.67,2.67
2,3,3.83,2.67
5,3.67,3.33,2.67
3.5,3.33,4,3
4,2.83,4,2.33
4,3.5,4.17,3
2,3,4.5,3
5,3,4,3
1,3.83,4,2.67
3,3.33,3.83,3
2.5,5,5,3
2,3.17,4.33,2.33
1.5,4.67,4.83,3
4.5,5,5,3
3,2.83,3.33,2.33
4.5,4.5,4.5,2.67
2,3,4.17,3
2,4.33,4,2.33
2.5,5,5,3
2,4,3.67,3
4.5,5,5,3
2,3.33,4.5,3
4.5,3.83,3.33,2.33
1,3.67,4.33,3
2,3.83,4.5,3
3.5,4.17,4.5,2.67
2,3.83,4.17,3
5,4,3.5,1.67
2,3,3.67,3
3.5,3.83,3.17,2.33
